project,year,fellow,region,match,corrected
"
              The Sir William Kilpatrick Churchill Fellowship to study developments in services for persons with irreversible dementia, with particular emphasis on residential facilities providing extended care services - Netherlands, Norway, Sweden, UK, USA
",1988,"PRITCHARD, Robyn",UK,yes,UK
"
              The Sir William Kilpatrick Churchill Fellowship to study developments in services for persons with irreversible dementia, with particular emphasis on residential facilities providing extended care services - Netherlands, Norway, Sweden, UK, USA
",1988,"PRITCHARD, Robyn",USA,yes,USA
"
              The A.V. Jennings Churchill Fellowship to study the design, construction and management of co-operative housing in order to provide secure and affordable housing for low income earners - UK, Canada
",1988,"RICHARDS, Peter",UK,yes,UK
"
              The A.V. Jennings Churchill Fellowship to study the design, construction and management of co-operative housing in order to provide secure and affordable housing for low income earners - UK, Canada
",1988,"RICHARDS, Peter",Canada,yes,Canada
"
              To visit centres of research into mosquito biology, the epidemiology of mosquito-borne diseases and mosquito control technologies, and review and investigate aspects relevant to Australia, particularly south-eastern Australia - USA, Canada, UK, Japan
",1988,"RUSSEL, Richard",USA,yes,USA
"
              To visit centres of research into mosquito biology, the epidemiology of mosquito-borne diseases and mosquito control technologies, and review and investigate aspects relevant to Australia, particularly south-eastern Australia - USA, Canada, UK, Japan
",1988,"RUSSEL, Richard",Canada,yes,Canada
"
              To visit centres of research into mosquito biology, the epidemiology of mosquito-borne diseases and mosquito control technologies, and review and investigate aspects relevant to Australia, particularly south-eastern Australia - USA, Canada, UK, Japan
",1988,"RUSSEL, Richard",UK,yes,UK
"
              To visit centres of research into mosquito biology, the epidemiology of mosquito-borne diseases and mosquito control technologies, and review and investigate aspects relevant to Australia, particularly south-eastern Australia - USA, Canada, UK, Japan
",1988,"RUSSEL, Richard",Japan,yes,Japan
"
              To study and assess developments in intensive production of sheep and goats with emphasis on nutrition, management, housing and welfare in order to improve efficiency and acceptability of live export enterprises - USA, France, UK
",1988,"SCARLETT, Edward",USA,yes,USA
"
              To study and assess developments in intensive production of sheep and goats with emphasis on nutrition, management, housing and welfare in order to improve efficiency and acceptability of live export enterprises - USA, France, UK
",1988,"SCARLETT, Edward",France,yes,France
"
              To study and assess developments in intensive production of sheep and goats with emphasis on nutrition, management, housing and welfare in order to improve efficiency and acceptability of live export enterprises - USA, France, UK
",1988,"SCARLETT, Edward",UK,yes,UK
"
              The UK Winston Churchill Memorial Trust Churchill Fellowship to study airport security with particular emphasis on policing arrangements - Germany, UK, Canada
",1988,"STARK, Bruce",Germany,yes,Germany
"
              The UK Winston Churchill Memorial Trust Churchill Fellowship to study airport security with particular emphasis on policing arrangements - Germany, UK, Canada
",1988,"STARK, Bruce",UK,yes,UK
"
              The UK Winston Churchill Memorial Trust Churchill Fellowship to study airport security with particular emphasis on policing arrangements - Germany, UK, Canada
",1988,"STARK, Bruce",Canada,yes,Canada
"
              The Swire Group Churchill Fellowship to examine farm management strategies used by the Israeli and USA cotton industries in order to assist Australian cotton producers to become more efficient and remain competitive in the world market - Israel, USA
",1988,"TURNER (now Volck), Josephine",Israel,yes,Israel
"
              The Swire Group Churchill Fellowship to examine farm management strategies used by the Israeli and USA cotton industries in order to assist Australian cotton producers to become more efficient and remain competitive in the world market - Israel, USA
",1988,"TURNER (now Volck), Josephine",USA,yes,USA
"
              To study at an international level the results of long term cannabis use and the ramifications of decriminalisation - Netherlands, Switzerland, Spain, Egypt
",1988,"WALTERS, Elaine",Netherlands,yes,Netherlands
"
              To study at an international level the results of long term cannabis use and the ramifications of decriminalisation - Netherlands, Switzerland, Spain, Egypt
",1988,"WALTERS, Elaine",Switzerland,yes,Switzerland
"
              To study at an international level the results of long term cannabis use and the ramifications of decriminalisation - Netherlands, Switzerland, Spain, Egypt
",1988,"WALTERS, Elaine",Spain,yes,Spain
"
              To study at an international level the results of long term cannabis use and the ramifications of decriminalisation - Netherlands, Switzerland, Spain, Egypt
",1988,"WALTERS, Elaine",Egypt,yes,Egypt
"
              To survey water use management and agroforestry expertise outside Australia to determine its application to Western Australia, with particular reference to the further development of integrated whole farm/whole landscape system planning - USA, UK, Netherl
",1988,"WATKINS, Ronald",USA,yes,USA
"
              To survey water use management and agroforestry expertise outside Australia to determine its application to Western Australia, with particular reference to the further development of integrated whole farm/whole landscape system planning - USA, UK, Netherl
",1988,"WATKINS, Ronald",UK,yes,UK
"
              To further develop skills as a voice teacher for professional actors and student actors, particularly in the connection between voice and text - USA, UK
",1988,"WEIR, Joanna",USA,yes,USA
"
              To further develop skills as a voice teacher for professional actors and student actors, particularly in the connection between voice and text - USA, UK
",1988,"WEIR, Joanna",UK,yes,UK
"
              To observe the procedures of the world's leading poison centres and to participate in the work of the Massachusetts Poison Control System to become familiar with their methods of handling calls, continuing education and research - USA, UK
",1988,"WEST (now KIRBY), Judith",USA,yes,USA
"
              To observe the procedures of the world's leading poison centres and to participate in the work of the Massachusetts Poison Control System to become familiar with their methods of handling calls, continuing education and research - USA, UK
",1988,"WEST (now KIRBY), Judith",UK,yes,UK
"
              To study agricultural adjustment programmes operating to assist farm families and rural communities experiencing financial difficulty, with particular emphasis on financial counselling services for farm families in crisis - USA, UK, Canada
",1988,"WITCOMBE, Russell",USA,yes,USA
"
              To study agricultural adjustment programmes operating to assist farm families and rural communities experiencing financial difficulty, with particular emphasis on financial counselling services for farm families in crisis - USA, UK, Canada
",1988,"WITCOMBE, Russell",UK,yes,UK
"
              To study agricultural adjustment programmes operating to assist farm families and rural communities experiencing financial difficulty, with particular emphasis on financial counselling services for farm families in crisis - USA, UK, Canada
",1988,"WITCOMBE, Russell",Canada,yes,Canada
"
              To examine advanced crisis care services overseas and to study the delivery and use of crisis intervention services in the social welfare field - USA, UK
",1988,"WRINGE, Kevin",USA,yes,USA
"
              To examine advanced crisis care services overseas and to study the delivery and use of crisis intervention services in the social welfare field - USA, UK
",1988,"WRINGE, Kevin",UK,yes,UK
"
              To study advanced tuba, orchestral and solo performance as well as teaching techniques with leading exponents of the instrument - USA
",1987,"BARZYK, Frank",USA,yes,USA
"
              To study volunteer bush firefighting organisations in order to improve attitudes, techniques and technology used in New South Wales - USA, Canada
",1987,"BEAN AFSM, William",USA,yes,USA
"
              To study volunteer bush firefighting organisations in order to improve attitudes, techniques and technology used in New South Wales - USA, Canada
",1987,"BEAN AFSM, William",Canada,yes,Canada
"
              To evaluate various hospice systems overseas in order to improve the care of the terminally ill, especially AIDS sufferers at Calvary Hospital Kogarah and in New South Wales generally - USA, UK, Canada
",1987,"BENSON, Jennifer",USA,yes,USA
"
              To evaluate various hospice systems overseas in order to improve the care of the terminally ill, especially AIDS sufferers at Calvary Hospital Kogarah and in New South Wales generally - USA, UK, Canada
",1987,"BENSON, Jennifer",UK,yes,UK
"
              To evaluate various hospice systems overseas in order to improve the care of the terminally ill, especially AIDS sufferers at Calvary Hospital Kogarah and in New South Wales generally - USA, UK, Canada
",1987,"BENSON, Jennifer",Canada,yes,Canada
"
              To investigate developments in nuclear medicine technology in order to provide advice on future developments in Australia including the possible acquisition of Australia's first medical cyclotron - USA, UK, Germany, France, Sweden
",1987,"BORHAM, Peter",USA,yes,USA
"
              To investigate developments in nuclear medicine technology in order to provide advice on future developments in Australia including the possible acquisition of Australia's first medical cyclotron - USA, UK, Germany, France, Sweden
",1987,"BORHAM, Peter",UK,yes,UK
"
              To investigate developments in nuclear medicine technology in order to provide advice on future developments in Australia including the possible acquisition of Australia's first medical cyclotron - USA, UK, Germany, France, Sweden
",1987,"BORHAM, Peter",Germany,yes,Germany
"
              To investigate developments in nuclear medicine technology in order to provide advice on future developments in Australia including the possible acquisition of Australia's first medical cyclotron - USA, UK, Germany, France, Sweden
",1987,"BORHAM, Peter",France,yes,France
"
              To investigate developments in nuclear medicine technology in order to provide advice on future developments in Australia including the possible acquisition of Australia's first medical cyclotron - USA, UK, Germany, France, Sweden
",1987,"BORHAM, Peter",Sweden,yes,Sweden
"
              To observe how music is used in the education and recreation of handicapped youth in order to disseminate the knowledge gained in schools and units in Australia and particularly in Queensland - UK
",1987,"CONN, Jacquelyn",UK,yes,UK
"
              To study and observe theatre and community arts companies operating across cultural barriers in order to improve multi-cultural theatre in Darwin - UK, France, Netherlands, Denmark, Italy, Singapore
",1987,"CONWAY AM, Kenneth",UK,yes,UK
"
              To study and observe theatre and community arts companies operating across cultural barriers in order to improve multi-cultural theatre in Darwin - UK, France, Netherlands, Denmark, Italy, Singapore
",1987,"CONWAY AM, Kenneth",France,yes,France
"
              To study and observe theatre and community arts companies operating across cultural barriers in order to improve multi-cultural theatre in Darwin - UK, France, Netherlands, Denmark, Italy, Singapore
",1987,"CONWAY AM, Kenneth",Netherlands,yes,Netherlands
"
              To study and observe theatre and community arts companies operating across cultural barriers in order to improve multi-cultural theatre in Darwin - UK, France, Netherlands, Denmark, Italy, Singapore
",1987,"CONWAY AM, Kenneth",Denmark,yes,Denmark
"
              To study and observe theatre and community arts companies operating across cultural barriers in order to improve multi-cultural theatre in Darwin - UK, France, Netherlands, Denmark, Italy, Singapore
",1987,"CONWAY AM, Kenneth",Italy,yes,Italy
"
              To study and observe theatre and community arts companies operating across cultural barriers in order to improve multi-cultural theatre in Darwin - UK, France, Netherlands, Denmark, Italy, Singapore
",1987,"CONWAY AM, Kenneth",Singapore,yes,Singapore
"
              To evaluate the latest techniques in Neighbourhood Watch in order to pass on new ideas to the programme in Victoria and other States - USA, Canada
",1987,"COSTER, Christopher",USA,yes,USA
"
              To evaluate the latest techniques in Neighbourhood Watch in order to pass on new ideas to the programme in Victoria and other States - USA, Canada
",1987,"COSTER, Christopher",Canada,yes,Canada
"
              To study the hatching and culture of scallops in order to improve Australian and particularly Tasmanian scallop yields - China, Japan, Canada, New Zealand
",1987,"CROPP, Derek",China,yes,China
"
              To study the hatching and culture of scallops in order to improve Australian and particularly Tasmanian scallop yields - China, Japan, Canada, New Zealand
",1987,"CROPP, Derek",Japan,yes,Japan
"
              To study the hatching and culture of scallops in order to improve Australian and particularly Tasmanian scallop yields - China, Japan, Canada, New Zealand
",1987,"CROPP, Derek",Canada,yes,Canada
"
              To study the hatching and culture of scallops in order to improve Australian and particularly Tasmanian scallop yields - China, Japan, Canada, New Zealand
",1987,"CROPP, Derek",New Zealand,yes,New Zealand
"
              To study the role and structure of overseas farming organisations and to use that knowledge for the benefit of Australian farmer organisations - USA, UK, France
",1987,"CUMING, Ian",USA,yes,USA
"
              To study the role and structure of overseas farming organisations and to use that knowledge for the benefit of Australian farmer organisations - USA, UK, France
",1987,"CUMING, Ian",UK,yes,UK
"
              To study the role and structure of overseas farming organisations and to use that knowledge for the benefit of Australian farmer organisations - USA, UK, France
",1987,"CUMING, Ian",France,yes,France
"
              To study textile conservation in order to improve preservation of the wide range of textile and composite items in the Australian War Memorial Collection - UK, France, Switzerland
",1987,"DODD, Wendy",UK,yes,UK
"
              To study textile conservation in order to improve preservation of the wide range of textile and composite items in the Australian War Memorial Collection - UK, France, Switzerland
",1987,"DODD, Wendy",France,yes,France
"
              To study textile conservation in order to improve preservation of the wide range of textile and composite items in the Australian War Memorial Collection - UK, France, Switzerland
",1987,"DODD, Wendy",Switzerland,yes,Switzerland
"
              To investigate innovative models of welfare service delivery to people in rural and remote areas in order to improve such services in Australia and particularly in the Riverina - USA
",1987,"DUNN, Peter",USA,yes,USA
"
              To study ""methode champenoise"" winemaking in Champagne, France in order to improve the quality of Australian wines - France
",1987,"DUNSFORD, Pamela",France,yes,France
"
              To study and assess the latest concepts in the organisation of sporting and recreational services for the disabled in order to improve the development and functioning of our associations in Australia - UK
",1987,"ENGLISH, Robyn",UK,yes,UK
"
              To study the management of single and twin bearing ewe flocks with a view to increasing the lambing percentage of the Australian sheep flock - UK
",1987,"FARGHER, Rex",UK,yes,UK
"
              To study theatre sound design, with emphasis on larger theatres, so as to improve the experience of live theatre in Australia - USA, UK, Germany
",1987,"FORD, Colin",USA,yes,USA
"
              To study theatre sound design, with emphasis on larger theatres, so as to improve the experience of live theatre in Australia - USA, UK, Germany
",1987,"FORD, Colin",UK,yes,UK
"
              To study theatre sound design, with emphasis on larger theatres, so as to improve the experience of live theatre in Australia - USA, UK, Germany
",1987,"FORD, Colin",Germany,yes,Germany
"
              To study methods of combating alcohol problems among Indigenous people overseas in order to assist Australian Aboriginal people - USA, Canada
",1987,"FUA, John",USA,yes,USA
"
              To study methods of combating alcohol problems among Indigenous people overseas in order to assist Australian Aboriginal people - USA, Canada
",1987,"FUA, John",Canada,yes,Canada
"
              To study horticultural crops and apply the knowledge gained for local consumption to increase self-sufficiency and reduce dependency on importation - Australia
",1987,"GEBA, Not",Australia,yes,Australia
"
              To observe management practices and techniques in large transport organisations so as to improve the New South Wales State Rail System - Japan, Sweden, Germany, UK
",1987,"GOODWIN, William",Japan,yes,Japan
"
              To observe management practices and techniques in large transport organisations so as to improve the New South Wales State Rail System - Japan, Sweden, Germany, UK
",1987,"GOODWIN, William",Sweden,yes,Sweden
"
              To observe management practices and techniques in large transport organisations so as to improve the New South Wales State Rail System - Japan, Sweden, Germany, UK
",1987,"GOODWIN, William",Germany,yes,Germany
"
              To observe management practices and techniques in large transport organisations so as to improve the New South Wales State Rail System - Japan, Sweden, Germany, UK
",1987,"GOODWIN, William",UK,yes,UK
"
              To study the latest trends in soft body armour in order to improve protection for the Victoria Police and to assist in a project to develop Australian made equipment for this purpose - USA, UK
",1987,"HOARE, Nicholas",USA,yes,USA
"
              To study the latest trends in soft body armour in order to improve protection for the Victoria Police and to assist in a project to develop Australian made equipment for this purpose - USA, UK
",1987,"HOARE, Nicholas",UK,yes,UK
"
              To expand knowledge of breeding, growing, milling and marketing ""triticale"", a new grain crop, in order to expand production of the crop in Australia, especially on marginal land - Mexico, UK, Germany
",1987,"HUNTER, Ronald",Mexico,yes,Mexico
"
              To expand knowledge of breeding, growing, milling and marketing ""triticale"", a new grain crop, in order to expand production of the crop in Australia, especially on marginal land - Mexico, UK, Germany
",1987,"HUNTER, Ronald",UK,yes,UK
"
              To expand knowledge of breeding, growing, milling and marketing ""triticale"", a new grain crop, in order to expand production of the crop in Australia, especially on marginal land - Mexico, UK, Germany
",1987,"HUNTER, Ronald",Germany,yes,Germany
"
              To investigate new processes in the manufacturing of cheese and to study the marketing and promotion of cheese in order to improve the future for the domestic specialty cheese market in Australia - France, Denmark, UK
",1987,"JENSEN, Laurence",France,yes,France
"
              To investigate new processes in the manufacturing of cheese and to study the marketing and promotion of cheese in order to improve the future for the domestic specialty cheese market in Australia - France, Denmark, UK
",1987,"JENSEN, Laurence",Denmark,yes,Denmark
"
              To investigate new processes in the manufacturing of cheese and to study the marketing and promotion of cheese in order to improve the future for the domestic specialty cheese market in Australia - France, Denmark, UK
",1987,"JENSEN, Laurence",UK,yes,UK
"
              To undertake 12 months advanced classical guitar study with Gordon Grosskey at the Royal Northern College of Music in England - UK
",1987,"KIDD, Carolyn",UK,yes,UK
"
              To acquire practical knowledge of surveying with the satellite Global Positioning System in order to set standards and train others in this field in Australia - USA
",1987,"KINLYSIDE, Douglas",USA,yes,USA
"
              To study and evaluate techniques and trends in the artificial insemination industry generally in order to improve the quality of Australian herds - USA, Canada
",1987,"KIRKBY, Catherine (Cathy)",USA,yes,USA
"
              To study and evaluate techniques and trends in the artificial insemination industry generally in order to improve the quality of Australian herds - USA, Canada
",1987,"KIRKBY, Catherine (Cathy)",Canada,yes,Canada
"
              To study the provision of health services in remote areas, and in particular the use of satellite communication in order to improve frontier health services in New South Wales - Canada
",1987,"LOW  (NOW NEUHAUS), Angela",Canada,yes,Canada
"
              To learn new techniques in the identification and classification of moths and caterpillars in order to benefit Tasmanian agriculture, forestry and conservation - Canada, USA, UK, France, Germany
",1987,"McQUILLAN, Peter",Canada,yes,Canada
"
              To learn new techniques in the identification and classification of moths and caterpillars in order to benefit Tasmanian agriculture, forestry and conservation - Canada, USA, UK, France, Germany
",1987,"McQUILLAN, Peter",USA,yes,USA
"
              To learn new techniques in the identification and classification of moths and caterpillars in order to benefit Tasmanian agriculture, forestry and conservation - Canada, USA, UK, France, Germany
",1987,"McQUILLAN, Peter",UK,yes,UK
"
              To learn new techniques in the identification and classification of moths and caterpillars in order to benefit Tasmanian agriculture, forestry and conservation - Canada, USA, UK, France, Germany
",1987,"McQUILLAN, Peter",France,yes,France
"
              To learn new techniques in the identification and classification of moths and caterpillars in order to benefit Tasmanian agriculture, forestry and conservation - Canada, USA, UK, France, Germany
",1987,"McQUILLAN, Peter",Germany,yes,Germany
"
              To examine the formulation and implementation of government policy on multicultural programming for pre-school children so as to bring new insight in the provision of services to meet the needs of Australia's multicultural society - USA, UK, Canada, Singa
",1987,"MILLIKAN OAM, Janice",USA,yes,USA
"
              To examine the formulation and implementation of government policy on multicultural programming for pre-school children so as to bring new insight in the provision of services to meet the needs of Australia's multicultural society - USA, UK, Canada, Singa
",1987,"MILLIKAN OAM, Janice",UK,yes,UK
"
              To examine the formulation and implementation of government policy on multicultural programming for pre-school children so as to bring new insight in the provision of services to meet the needs of Australia's multicultural society - USA, UK, Canada, Singa
",1987,"MILLIKAN OAM, Janice",Canada,yes,Canada
"
              To develop professional skills by working with editors of internationally acclaimed magazines in order to improve the opportunities available for publication to Australian short story writers - Singapore, Italy, UK, Canada, USA
",1987,"PASCOE, Bruce",Singapore,yes,Singapore
"
              To develop professional skills by working with editors of internationally acclaimed magazines in order to improve the opportunities available for publication to Australian short story writers - Singapore, Italy, UK, Canada, USA
",1987,"PASCOE, Bruce",Italy,yes,Italy
"
              To develop professional skills by working with editors of internationally acclaimed magazines in order to improve the opportunities available for publication to Australian short story writers - Singapore, Italy, UK, Canada, USA
",1987,"PASCOE, Bruce",UK,yes,UK
"
              To develop professional skills by working with editors of internationally acclaimed magazines in order to improve the opportunities available for publication to Australian short story writers - Singapore, Italy, UK, Canada, USA
",1987,"PASCOE, Bruce",Canada,yes,Canada
"
              To develop professional skills by working with editors of internationally acclaimed magazines in order to improve the opportunities available for publication to Australian short story writers - Singapore, Italy, UK, Canada, USA
",1987,"PASCOE, Bruce",USA,yes,USA
"
              To find solutions to the problems of employment for people suffering from epilepsy - Canada, USA, UK, Germany, Netherlands
",1987,"PELLAS, Bethany",Canada,yes,Canada
"
              To find solutions to the problems of employment for people suffering from epilepsy - Canada, USA, UK, Germany, Netherlands
",1987,"PELLAS, Bethany",USA,yes,USA
"
              To find solutions to the problems of employment for people suffering from epilepsy - Canada, USA, UK, Germany, Netherlands
",1987,"PELLAS, Bethany",UK,yes,UK
"
              To find solutions to the problems of employment for people suffering from epilepsy - Canada, USA, UK, Germany, Netherlands
",1987,"PELLAS, Bethany",Germany,yes,Germany
"
              To find solutions to the problems of employment for people suffering from epilepsy - Canada, USA, UK, Germany, Netherlands
",1987,"PELLAS, Bethany",Netherlands,yes,Netherlands
"
              To study techniques of silk painting in order to teach to a standard of excellence in Australia - France
",1987,"PHILLIPS, Morgyn",France,yes,France
"
              To visit major solar energy research institutes overseas and to apply the knowledge gained at the Solar Energy Research Institute of Western Australia - USA
",1987,"PHILLIPS, Stephen",USA,yes,USA
"
              To observe treatment of persons suffering from psychological deficits due to brain damage after head injury in order to improve the care for such persons in Australia generally and particularly at Bethesda Hospital in Richmond, Victoria - USA, UK
",1987,"PONSFORD AO, Jennie",USA,yes,USA
"
              To observe treatment of persons suffering from psychological deficits due to brain damage after head injury in order to improve the care for such persons in Australia generally and particularly at Bethesda Hospital in Richmond, Victoria - USA, UK
",1987,"PONSFORD AO, Jennie",UK,yes,UK
"
              To study the representation of children in courts so as to improve the quality of such representation in Western Australia - UK
",1987,"RAYNER, Moira",UK,yes,UK
"
              The Westralian Forest Industries Limited Churchill Fellowship to evaluate the suitability of high value tropical hardwoods from Southern India for growing in the Kimberley area of Western Australia - India
",1987,"RICHMOND, Ian",India,yes,India
"
              To obtain first hand information on the best techniques to illustrate scientific principles to the public and to apply the knowledge gained to the Supernove Science and Technology Centre in Newcastle - Singapore, UK, USA, Canada, Japan
",1987,"ROBERTS, Timothy",Singapore,yes,Singapore
"
              To obtain first hand information on the best techniques to illustrate scientific principles to the public and to apply the knowledge gained to the Supernove Science and Technology Centre in Newcastle - Singapore, UK, USA, Canada, Japan
",1987,"ROBERTS, Timothy",UK,yes,UK
"
              To obtain first hand information on the best techniques to illustrate scientific principles to the public and to apply the knowledge gained to the Supernove Science and Technology Centre in Newcastle - Singapore, UK, USA, Canada, Japan
",1987,"ROBERTS, Timothy",USA,yes,USA
"
              To obtain first hand information on the best techniques to illustrate scientific principles to the public and to apply the knowledge gained to the Supernove Science and Technology Centre in Newcastle - Singapore, UK, USA, Canada, Japan
",1987,"ROBERTS, Timothy",Canada,yes,Canada
"
              To obtain first hand information on the best techniques to illustrate scientific principles to the public and to apply the knowledge gained to the Supernove Science and Technology Centre in Newcastle - Singapore, UK, USA, Canada, Japan
",1987,"ROBERTS, Timothy",Japan,yes,Japan
"
              To gain insight into youth theatre programmes in the US in order to promote standards of excellence in youth performing arts in Western Australia - USA
",1987,"SELBY, Clyde",USA,yes,USA
"
              To investigate the ways in which the Navaho and Hopi Indians have developed strategies to offset high unemployment rates in order to develop strategies to assist Aboriginal youth - USA
",1987,"SHEWRING, Robert",USA,yes,USA
"
              To study theatrical interpretation at the Andreas Voutinas School in Paris in order to improve the quality of cultural projects in Queensland - France
",1987,"SPOTTISWOOD, Gilbert",France,yes,France
"
              To determine the most advanced techniques in tea growng in order to apply these techniques to Australia's rapidly expanding tea growing industry - Kenya, Malawi, Malaysia
",1987,"STEEL, Richard",Kenya,yes,Kenya
"
              To determine the most advanced techniques in tea growng in order to apply these techniques to Australia's rapidly expanding tea growing industry - Kenya, Malawi, Malaysia
",1987,"STEEL, Richard",Malawi,yes,Malawi
"
              To determine the most advanced techniques in tea growng in order to apply these techniques to Australia's rapidly expanding tea growing industry - Kenya, Malawi, Malaysia
",1987,"STEEL, Richard",Malaysia,yes,Malaysia
"
              To study materials and techniques used in maxillo facial technology and the construction of body prostheses to advance knowledge and skills in this area - UK, Sweden
",1987,"TARNOWSKYJ, Wasyl",UK,yes,UK
"
              To study materials and techniques used in maxillo facial technology and the construction of body prostheses to advance knowledge and skills in this area - UK, Sweden
",1987,"TARNOWSKYJ, Wasyl",Sweden,yes,Sweden
"
              To increase skills in the art of gem cutting and display in order to improve the quality of this art in Australia - UK, USA, Germany, France
",1987,"THOMPSON , Murray",UK,yes,UK
"
              To increase skills in the art of gem cutting and display in order to improve the quality of this art in Australia - UK, USA, Germany, France
",1987,"THOMPSON , Murray",USA,yes,USA
"
              To increase skills in the art of gem cutting and display in order to improve the quality of this art in Australia - UK, USA, Germany, France
",1987,"THOMPSON , Murray",Germany,yes,Germany
"
              To increase skills in the art of gem cutting and display in order to improve the quality of this art in Australia - UK, USA, Germany, France
",1987,"THOMPSON , Murray",France,yes,France
"
              To study horticultural practices overseas in order to improve yield and quality in South Australia particularly with regard to the export market - Israel, Mexico, USA
",1987,"TWIGDEN, Lester",Israel,yes,Israel
"
              To study horticultural practices overseas in order to improve yield and quality in South Australia particularly with regard to the export market - Israel, Mexico, USA
",1987,"TWIGDEN, Lester",Mexico,yes,Mexico
"
              To study horticultural practices overseas in order to improve yield and quality in South Australia particularly with regard to the export market - Israel, Mexico, USA
",1987,"TWIGDEN, Lester",USA,yes,USA
"
              To evaluate pilot field trials of new procedures for beef cattle breeding in order to achieve productivity gain in Australia by breeding including strategic crossing - USA, Canada
",1987,"UPTON, Wayne",USA,yes,USA
"
              To evaluate pilot field trials of new procedures for beef cattle breeding in order to achieve productivity gain in Australia by breeding including strategic crossing - USA, Canada
",1987,"UPTON, Wayne",Canada,yes,Canada
"
              To ascertain the latest trends in playwrighting so as to improve skills both as a writer and tutor throughout the theatre profession in Australia - Germany, UK, USA
",1987,"VAN AMSTEL, Pamela",Germany,yes,Germany
"
              To ascertain the latest trends in playwrighting so as to improve skills both as a writer and tutor throughout the theatre profession in Australia - Germany, UK, USA
",1987,"VAN AMSTEL, Pamela",UK,yes,UK
"
              To ascertain the latest trends in playwrighting so as to improve skills both as a writer and tutor throughout the theatre profession in Australia - Germany, UK, USA
",1987,"VAN AMSTEL, Pamela",USA,yes,USA
"
              To study sail training in Europe in order to contribute better to Australian Yachting Federation Training Schemes - UK, Germany
",1987,"VIRTUE, Jane",UK,yes,UK
"
              To study sail training in Europe in order to contribute better to Australian Yachting Federation Training Schemes - UK, Germany
",1987,"VIRTUE, Jane",Germany,yes,Germany
"
              To study and undergo particular operatic roles in order to improve performances in Australia - UK, Italy, Germany
",1987,"WEGNER AO, John",UK,yes,UK
"
              To study and undergo particular operatic roles in order to improve performances in Australia - UK, Italy, Germany
",1987,"WEGNER AO, John",Italy,yes,Italy
"
              To study and undergo particular operatic roles in order to improve performances in Australia - UK, Italy, Germany
",1987,"WEGNER AO, John",Germany,yes,Germany
"
              To carry out investigative visits to prominent US artist blacksmiths in order to teach and apply the knowledge gained in Australia - USA
",1987,"WEIS, Robert",USA,yes,USA
"
              To bring back to Australia knowledge of the latest methods of disseminating horticultural advice by radio, television, telephone, press and literature - UK, Netherlands, USA
",1987,"YOUNG, David",UK,yes,UK
"
              To bring back to Australia knowledge of the latest methods of disseminating horticultural advice by radio, television, telephone, press and literature - UK, Netherlands, USA
",1987,"YOUNG, David",Netherlands,yes,Netherlands
"
              To bring back to Australia knowledge of the latest methods of disseminating horticultural advice by radio, television, telephone, press and literature - UK, Netherlands, USA
",1987,"YOUNG, David",USA,yes,USA
"
              To gain knowledge of overseas developments in children's theatre so as to improve theatrecraft and administration in Australia - Belgium, France, Germany, Czech Republic, Sweden
",1986,"A'VARD, Philip",Belgium,yes,Belgium
"
              To gain knowledge of overseas developments in children's theatre so as to improve theatrecraft and administration in Australia - Belgium, France, Germany, Czech Republic, Sweden
",1986,"A'VARD, Philip",France,yes,France
"
              To gain knowledge of overseas developments in children's theatre so as to improve theatrecraft and administration in Australia - Belgium, France, Germany, Czech Republic, Sweden
",1986,"A'VARD, Philip",Germany,yes,Germany
"
              To gain knowledge of overseas developments in children's theatre so as to improve theatrecraft and administration in Australia - Belgium, France, Germany, Czech Republic, Sweden
",1986,"A'VARD, Philip",Czech Republic,yes,Czech Republic
"
              To gain knowledge of overseas developments in children's theatre so as to improve theatrecraft and administration in Australia - Belgium, France, Germany, Czech Republic, Sweden
",1986,"A'VARD, Philip",Sweden,yes,Sweden
"
              To study three dimensional and sculptural weaving techniques overseas in order to pass on to weavers and to use skills as a foundation for encouraging craft and cottage industries - UK
",1986,"ATKINSON, Doreen",UK,yes,UK
"
              To investigate the establishment and management of public educational and recreational farms in or near cities - New Zealand, Netherlands, UK
",1986,"BACON, John",New Zealand,yes,New Zealand
"
              To investigate the establishment and management of public educational and recreational farms in or near cities - New Zealand, Netherlands, UK
",1986,"BACON, John",Netherlands,yes,Netherlands
"
              To investigate the establishment and management of public educational and recreational farms in or near cities - New Zealand, Netherlands, UK
",1986,"BACON, John",UK,yes,UK
"
              To gain knowledge of recent developments in the use of electronic devices for communication with disabled people - UK, USA, Canada
",1986,"BARRETT, Kathryn",UK,yes,UK
"
              To gain knowledge of recent developments in the use of electronic devices for communication with disabled people - UK, USA, Canada
",1986,"BARRETT, Kathryn",USA,yes,USA
"
              To gain knowledge of recent developments in the use of electronic devices for communication with disabled people - UK, USA, Canada
",1986,"BARRETT, Kathryn",Canada,yes,Canada
"
              To examine the application of photographic and electronic procedures in recording eye disorders in order to improve diagnosis of eye disorders in Western Australia - USA, UK
",1986,"BARRY, Christopher",USA,yes,USA
"
              To examine the application of photographic and electronic procedures in recording eye disorders in order to improve diagnosis of eye disorders in Western Australia - USA, UK
",1986,"BARRY, Christopher",UK,yes,UK
"
              To investigate the organisation and conduct of training courses for farmers and for those planning to follow farming careers - UK, USA
",1986,"BONNEY, Lawrence (Laurie)",UK,yes,UK
