"","project","year","fellow"
"2425","
              To study theatrical wig-making and make-up - UK, France
            ","1997","HARFORD, Denis"
"2426","
              The Bob and June Prickett Churchill Fellowship to investigate methods of rehabilitation of injured hands and arms - USA
            ","1997","HARKIN, Catherine"
"2427","
              To study the interchange of information on market requirements and price within the beef industry - USA, Germany, France
            ","1997","HARTMANN, Michael"
"2428","
              To research training and publication opportunities for mid-career Australian authors - USA
            ","1997","HAYES, Susan"
"2429","
              To investigate the provision of services to people who are both deaf and blind - USA, UK
            ","1997","JAMES, Patricia"
"2430","
              The NRMA-ACT Road Safety Trust Churchill Fellowship to study the management and transport of hazardous materials - UK, USA, Canada
            ","1997","JEFFS, Peter"
"2431","
              To develop coaching skills specific to hammer throwing through apprenticeship coaching - Australia
            ","1997","JONES, Brentt"
"2432","
              To study methods of preventing abuse of the elderly in residential care facilities - UK, Sweden, Netherlands, USA, Canada
            ","1997","KELLY, Penny"
"2433","
              To investigate the dissemination of agricultural information to the wider community - UK, France, Germany, Netherlands, Denmark, Belgium
            ","1997","KING, Carole"
"2434","
              To investigate ways to help middle-aged to elderly people who have suffered strokes or neurological accidents to resume activities in the community - UK, Ireland, Italy, Hungary, USA
            ","1997","KLUVANEK, Anna"
"2435","
              To investigate the structures and programs offered in world renowned specialist schools for gifted students in the performing arts - UK, USA
            ","1997","KOLARIK, Sylvia"
"2436","
              To study music making with interaction by the community - UK, Finland, Denmark, Iceland
            ","1997","LEEK, Stephen"
"2437","
              To study the teaching of music to children - Hungary
            ","1997","LONSDALE, Penelope"
"2438","
              To study the processes of designing and printing fabrics for the quilt market - USA, Korea
            ","1997","LUGG, Wendy"
"2439","
              To examine relationships between public hospitals and homeless persons agencies - USA, Canada, UK
            ","1997","MACWILLIAMS, Judith"
"2440","
              To examine farm safety programmes with particular reference to the use of safety equipment - USA, Canada
            ","1997","MAHON, Margaret"
"2441","
              To study playing and teaching the violin - Austria, USA
            ","1997","MARSDEN, Marina"
"2442","
              To study rehabilitation nursing for children with disabling conditions - USA, Canada
            ","1997","MCCARTNEY, Lynn"
"2443","
              To investigate the provision and management of adult and community education programmes amongst First Nations people - Canada
            ","1997","McCOSKER, Julia"
"2444","
              The Dame Roma Mitchell Churchill Fellowship to study vocal repertoire as a lyric bel canto baritone - Netherlands
            ","1997","McNICOL, Douglas"
"2445","
              To investigate ways to improve the training of social welfare workers employed in the child protection field - UK
            ","1997","MCPHERSON, Lynne"
"2446","
              To study the unique volunteer based child abuse prevention program, NEWPIN (New Parent Information Network) - UK
            ","1997","MONDY, Linda"
"2447","
              To study innovative practices in child protection - Norway, UK, Ireland, Canada
            ","1997","MOORE, Craig"
"2448","
              The James Love Churchill Fellowship to study technology and health in Indigenous communities - USA, Canada
            ","1997","MORAN, Mark"
"2449","
              The Max Phelan Churchill Fellowship to study the use of thermal imaging equipment fitted to police and search and rescue helicopters - UK, USA, South Africa
            ","1997","MORGAN, Tim"
"2450","
              To investigate tobacco control projects for young people - USA, Canada
            ","1997","MORRIS, Christine"
"2451","
              To study emergency egress and alternatives for disabled people - USA, UK, Germany
            ","1997","NEELY, John"
"2452","
              To study crime scene management strategies, evidence collection techniques and post scene evidence examination - Israel, USA, Germany, UK, Russia
            ","1997","NELIPA, Peter"
"2453","
              To investigate ways to treat the terminally ill without invasive measures and with compassion and dignity - USA, UK
            ","1997","NICOLETTI, Margherita"
"2454","
              The Jerusalem and University Botanical Garden Churchill Fellowship to study horticulture in Israel with particular reference to comparing and contracting the cultivation of Indigenous flora - Israel
            ","1997","NOLAN, Richard"
"2455","
              To research methods of ethics education and development for police officers - USA, UK, Canada
            ","1997","O'CALLAGHAN, Karl"
"2456","
              To study artistic blacksmithing - USA
            ","1997","O'ROURKE, Chris"
"2457","
              To investigate urban park management - Canada, USA
            ","1997","ORD, Stuart"
"2458","
              To investigate the processes employed by education systems/schools in appraising the performance of teaching staff - UK, Canada
            ","1997","PAIOFF, Philip"
"2459","
              To examine community based crime prevention initiatives - Canada, USA
            ","1997","PRIOR, William"
"2460","
              To study the relationship between British and Australian theatre - UK
            ","1997","PULFORD, Donald"
"2461","
              The Blakeney Millar Foundation Churchill Fellowship to study delivery of library services to rural communities in order to improve the service to the people of the Tumut area - UK, Ireland, Canada
            ","1997","QUINCE, Lynette"
"2462","
              To investigate private and public composting operations - USA
            ","1997","QUINN, Matthew"
"2463","
              To identify ways to integrate severely handicapped people with society - Canada, USA, UK
            ","1997","REISCH, Annamaree"
"2464","
              The Samual and Eileen Gluyas Churchill Fellowship to review extensive area environmental planning as it applies to the pastoral industry - USA, Canada
            ","1997","RITCHIE, Mark"
"2465","
              To investigate the latest developments in the protection of VIP's - UK, USA, Canada
            ","1997","SCHOT, John"
"2466","
              To study the economic development of small towns with particular reference to forestry and tourism as applicable to the Tumut area - UK
            ","1997","SIMPSON, Paul"
"2467","
              The Swire Group Churchill Fellowship to investigate silage production and handling with particular reference to the export market - UK, Ireland, France, Belgium, Germany, Netherlands, Denmark
            ","1997","SMITH, Nigel"
"2468","
              To examine community service programmes for people with Tourette's Syndrome - UK, Norway, USA
            ","1997","SMITH, Paul"
"2469","
              The Mathews Upton Churchill Fellowship to study composing and playing percussion - Netherlands, Germany, Belgium, Sweden, USA
            ","1997","SOUTH, Philip"
"2470","
              To study organ donor family support - UK, USA, Finland
            ","1997","STONE, Ross"
"2471","
              The ANTA Research Advisory Council Churchill Fellowship to investigate and compare the models, approaches and experiences of careers education programmes - New Zealand, USA, Canada, UK
            ","1997","STRANEY, Mark"
"2472","
              The Gallaugher Bequest Churchill Fellowship to investigate the prevention and treatment of cold injuries - UK, Sweden, Norway, USA
            ","1997","SULLIVAN, Peter"
"2473","
              To investigate the creation of partnerships between commercial and not-for-profit organisations - USA, Canada
            ","1997","SZIROM, Tricia"
"2474","
              To evaluate the application of alternative dispute resolution mechanisms to the operation of the Small Claims Tribunal - USA, Canada, UK, Singapore
            ","1997","TILLEY, Annemarie"
"2475","
              To study the clarinet - France
            ","1997","TOLMIE, Diana"
"2476","
              The AMP Churchill Fellowship to examine models for multi-jurisdiction/multi-sector regulation of the finance sector - USA, UK, Canada, Belgium
            ","1997","TOMKINS, Shauna"
"2477","
              The Swire Group Churchill Fellowship to investigate drainage and irrigation in major river systems - USA, Israel, South Africa
            ","1997","TUCKER, Brett"
"2478","
              To explore methods of non-insecticidal control of pest insects - Sweden, UK.
            ","1997","URECH, Rudolf"
"2479","
              To investigate the role of Indigenous people in mining on their lands and to study environmental management of mining - UK, France, Switzerland, Canada, USA
            ","1997","UREN, Christopher"
"2480","
              To investigate occupational health and safety management - Canada
            ","1997","WALSH, Michael"
"2481","
              To investigate leadership programmes for Indigenous people - USA, Canada
            ","1997","WATKIN, Edward"
"2482","
              To study regeneration using Australian native plants - Israel
            ","1997","WEEKES, Robyn"
"2483","
              To investigate utility sponsored water efficiency programs - USA, Canada, France
            ","1997","WHITE, Stuart"
"2484","
              To examine the representation, employment and training of African-American and ethnic minorities working in television broadcast news - USA, Canada
            ","1997","WILLIAMS, Tracy"
"2485","
              To study aerosol art - USA, Germany
            ","1997","WOODWARD, Jason"
"2486","
              To investigate the development of quality management systems in horticulture - UK, USA
            ","1997","ZIEBARTH, Paul"
"2487","
              To study architectural and historical links between churches in Germany and South Australia - Germany
            ","1996","ANDREWS, Brian"
"2488","
              To investigate the restructuring of rural communities - New Zealand, USA, Canada, Netherlands
            ","1996","ATKINS, Heather"
"2489","
              The Jack Sheeran Churchill Fellowship to study the reduction of product wastage within the baking industry - USA, Germany, Sweden, Switzerland, France, UK
            ","1996","BACZYNSKI, Mark"
"2490","
              The Peter Mitchell Churchill Fellowship to gain insight into the management of youth art festivals - Denmark, UK, Canada
            ","1996","BAILY, Emma"
"2491","
              To discover the lessons for the management of Australia's south eastern grasslands in the management of the North American Prairie - USA
            ","1996","BARLOW, Timothy"
"2492","
              To study bereavement programmes for organ donor families - UK, USA
            ","1996","BARNWELL, Alison"
"2493","
              The Peter Mitchell Churchill Fellowship to develop skills in media policy formulation by observing the 1996 Presidential Elections both generally and at the White House - USA
            ","1996","CAIN, Tracey"
"2494","
              To investigate the production and marketing of shellfish - Japan, France, China, UK, Ireland
            ","1996","CALLAN, Michael"
"2495","
              To gain experience in the management and development of Botanical Gardens - Germany, UK (Partially supported by the Royal Tasmanian Botanical Gardens)
            ","1996","CANE, James"
"2496","
              The Swire Group Churchill Fellowship to study cotton farming - USA
            ","1996","CASTOR, Paul"
"2497","
              To investigate the latest techniques in effluent and grey water management - UK
            ","1996","CHAMBERS, Gregory"
"2498","
              To study and observe native tree propagation, bush regeneration and land rehabilitation - Australia
            ","1996","CHRISTIAN, Tim"
"2499","
              The Ronald Badman Churchill Fellowship to study native grass seed production - Canada, USA
            ","1996","CLARK, Michael"
"2500","
              The James Love Churchill Fellowship to study the impact of coastal development on tropical marine vegetation - Guam, Philippines, Thailand, Malaysia, India
            ","1996","COLES, Robert"
"2501","
              To investigate rescue helicopter techniques with particular reference to night operations using night vision goggles - Switzerland, France, Germany, UK
            ","1996","COLLINS, Peter"
"2502","
              To study best practice in intelligence management with respect to Chinese organised crime - Hong Kong, UK, Netherlands, Canada, USA
            ","1996","CRAIG, Mark"
"2503","
              To investigate programmes to assist young people with severe psychological or psychiatric problems - New Zealand, USA, UK
            ","1996","CRISP, Simon"
"2504","
              To gain first hand knowledge of the production of fine furniture by master craftsmen - UK, France
            ","1996","CRISP, Justin"
"2505","
              To advance knowledge and skills in the control of cancer pain - UK, USA
            ","1996","CUMMINS, Annette"
"2506","
              To investigate school and community health and drug education programmes - USA, UK, Malaysia
            ","1996","CURD, David"
"2507","
              The Dame Roma Mitchell Churchill Fellowship to study the performance and presentation of opera - Greece, UK, Austria, Germany
            ","1996","DE JONG AM, Tania"
"2508","
              The Sir William Kilpatrick Churchill Fellowship to study the provision of health services to rural communities - USA, Canada, Norway, Sweden, Finland
            ","1996","DELAHUNTY, Michael"
"2509","
              The Peter Mitchell Churchill Fellowship to carry out intensive study and training on solo piano and concerto repertoire - South Africa
            ","1996","DENG, Shan"
"2510","
              To study the provision of innovative educational and vocational programmes for juveniles in detention - USA, Canada, UK,
            ","1996","DIXON, Robert"
"2511","
              To study painting and drawing - USA, UK
            ","1996","DOWNS, Michael"
"2512","
              To study the production of wrought iron - USA
            ","1996","DREW, Craig"
"2513","
              To examine the interface between provincial galleries and museums and their local and regional communities - UK
            ","1996","EISENBERG, Joseph"
"2514","
              To study specialised nursing care for people needing stomal therapy - USA
            ","1996","ENGLISH AM, Elizabeth"
"2515","
              To study the manufacture, provision and supply of artificial limbs - UK, Netherlands
            ","1996","FEENSTRA, Peter"
"2516","
              To study the provision of recreation and leisure activities for people with mental illness - USA, Canada
            ","1996","FIELD, Jennifer"
"2517","
              The Gallaugher Bequest Churchill Fellowship to study the revitalising of geological, mining and industrial heritage sites - New Zealand, UK, Germany, USA
            ","1996","FLITCROFT, Murray"
"2518","
              To study initiatives associated with community based natural resource management - USA
            ","1996","FOSTER, Derek"
"2519","
              The Swire Group Churchill Fellowship to study control of woody weeds in arid and semi-arid areas - USA
            ","1996","FULLER, Murray"
"2520","
              The Lord Mayor's Bushfire Appeal Churchill Fellowship to investigate fire management planning - USA, Canada
            ","1996","GELLIE, Nicholas"
"2521","
              The Donald Mackay Churchill Fellowship to identify trends in the use of telecommunications by criminals and to study methods of interception - USA, Canada, UK, Netherlands
            ","1996","GRANT APM, Richard"
"2522","
              To examine aspects of the eucalyptus oil industry, including cultivation, harvesting, oil extraction and marketing - China, Spain, Portugal, France
            ","1996","GRAYLING, Peter"
"2523","
              To learn the latest concepts in quality management - USA, Canada
            ","1996","GUEST, Sandra"
"2524","
              The Lamington National Park Churchill Fellowship to study the management of natural areas set aside for recreation - Canada, USA, Norway, Sweden
            ","1996","HARPER, Terry"
"2525","
              The AMP Churchill Fellowship to study life insurance regulatory frameworks and industry profiles - UK, USA, Canada
            ","1996","HARRIS, David"
"2526","
              To study all aspects of the provision of children's access services - New Zealand, USA, Canada, UK, France
            ","1996","HARRISON, Judith"
"2527","
              To study the composition and presentation of electro-acoustic music - UK, France
            ","1996","HARVEY, Lawrence"
"2528","
              To study the production and exhibition of goods and services for the disabled - Germany, Portugal, UK, USA, United Arab Emirates
            ","1996","HEATH AM, Jeff"
"2529","
              To pursue excellence in flute playing and teaching - France
            ","1996","HICKS, Patricia"
"2530","
              To examine the use of wetlands for soil and water management - USA
            ","1996","HUNTER, Geoffrey"
"2531","
              To research folk art collections and documentation - USA
            ","1996","IOANNOU, Noris"
"2532","
              To investigate the organisation of full-service schools - USA
            ","1996","IRLICHT, Bella"
"2533","
              The A.V. Jennings Churchill Fellowship to study the urban design and domestic architecture concepts of Alvar Aalto - Finland
            ","1996","Jasper, Michael"
"2534","
              The Jack Brockhoff Churchill Fellowship to investigate the latest advances in physiotherapy to rehabilitate burn victims - USA, UK, Denmark
            ","1996","LAW, Henrietta"
"2535","
              To study ways in which the commercial fishing industry is involved in the management, restoration and protection of fish habitats - USA
            ","1996","LEADBITTER, Duncan"
"2536","
              To study quality assurance procedures at all stages of food production with particular reference to the Australian export market - Germany, Netherlands, France, UK
            ","1996","LIPTON, Helen"
"2537","
              The Samual and Eileen Gluyas Churchill Fellowship to study the effects of plant breeders' rights on the breeding of new cultivars - Japan, Canada, USA, UK, France, Netherlands, Poland, Germany
            ","1996","LOCH, Donald"
"2538","
              To study tuba playing - USA, Germany
            ","1996","LUKIN, Brendon"
"2539","
              To investigate commercial shellfish quality assurance programmes - UK, USA, Spain, France, Netherlands
            ","1996","MAIDMENT, David"
"2540","
              To investigate current preventative measures and treatments used in textile conservation - France, Italy, UK
            ","1996","MARENDY, Michael"
"2541","
              To investigate the teaching of local and community history - UK
            ","1996","McCARTHY, Louella"
"2542","
              To study the manufacturing and marketing of handcrafted footwear and the training of footwear craftspeople - UK, France, USA
            ","1996","McDONALD, Andrew"
"2543","
              The Dr Iain C. Medgett Churchill Fellowship to seek to achieve excellence as an operatic tenor - Italy, UK
            ","1996","McENIERY, Adrian"
"2544","
              To study glass bead making, methods and workshop practices - USA
            ","1996","MORRISEY, Jane"
"2545","
              To investigate models of arts tourism especially as they relate to rural areas - UK, Belgium, France
            ","1996","NEELE, Vicki"
"2546","
              The Percy Baxter Churchill Fellowship to investigate education programmes in schools with students from many different ethnic backgrounds - USA, Canada, UK
            ","1996","O'DWYER, Kathleen"
"2547","
              To investigate the latest techniques in the scientific examination of clandestine drug manufacturing - Japan, USA
            ","1996","OFFER, Max"
"2548","
              To study the interpretation of historic gardens - UK, France, Netherlands, USA
            ","1996","OLSEN, Karen"
"2549","
              To study measures to prevent injury from consumer products - UK, Netherlands, USA
            ","1996","OZANNE-SMITH AO, Joan"
"2550","
              The Mr and Mrs Gerald Frank New Churchill Fellowship to investigate features of building design aimed at assisting those who suffer from dementia - Canada, USA, Iceland, Sweden, Netherlands, UK
            ","1996","PEACHMENT, Gretta"
"2551","
              To study advanced wood-carving and sculpture - UK, Switzerland, Germany
            ","1996","POWELL, Donald"
"2552","
              To investigate ways to assist Indigenous people to achieve self sufficiency in business ventures - USA, Canada
            ","1996","RANKINE OAM, Henry"
"2553","
              To study conciliation and complaint handling by public servants administering Human Rights and Anti-Discrimination legislation - Canada, USA, UK
            ","1996","RAYMOND, Tracey"
"2554","
              To develop skill as a professional trombonist - USA
            ","1996","REDMAN, Jason"
"2555","
              To study ways to assist church members when their leaders are involved in sexual abuse - USA
            ","1996","REID, Raymond"
"2556","
              The George Weston Foods Churchill Fellowship to examine export opportunities for the baking industry - Japan, China, Vietnam, Philippines
            ","1996","RICHARDSON, John"
"2557","
              To study services and treatment options for mentally ill women and their children - UK, USA, Canada
            ","1996","SHIPP, Yvonne"
"2558","
              The Bob and June Prickett Churchill Fellowship to study speech, language and educational programmes for children with impaired hearing - Canada, USA
            ","1996","SIMPSON, Jayne"
"2559","
              To assist people from multi-lingual backgrounds who have suffered a stroke - UK, Canada, Netherlands
            ","1996","SJARDIN, Helen"
"2560","
              To study the accent method and other related breathing techniques in relationship to professional voice users and voice problems - Sweden, Denmark
            ","1996","SYNAN, Loris"
"2561","
              To investigate ways to measure the value of mental health services - UK, Netherlands
            ","1996","TEESSON AC, Maree"
"2562","
              To study alternative dispute resolution in Indigenous communites - USA, Canada
            ","1996","THORNE, Robin"
"2563","
              To investigate ways to use art as a therapy for people with Parkinson's Disease - USA, UK, Switzerland, Italy, Canada
            ","1996","TINGEY OAM, Nancy"
"2564","
              The John Fairfax Holdings Churchill Fellowship to study sailing for the disabled - USA, UK, Canada
            ","1996","VARDY, Philip"
"2565","
              To study conducting with world renowned conductors, orchestras, opera companies and choirs - UK
            ","1996","WALKER, Antony"
"2566","
              The Qantas Churchill Fellowship to study tourism management and marketing - USA
            ","1996","WALLACE, Bruce"
"2567","
              To study photography with particular reference to the export market - Switzerland, Italy, Germany, Japan, USA
            ","1996","WHYTE, Peter"
"2568","
              The Bank of Queensland Churchill Fellowship to investigate the direct reuse of wastewater for residential, commercial and industry purposes - South Africa, UK, USA
            ","1996","WILLIAMS, Rodney"
"2569","
              To investigate world best practice in the provision of services to people with spina bifida - USA, Canada
            ","1996","WILLIAMS, Rhys"
"2570","
              To investigate negotiation techniques during hostage, crisis and suicide incidents - UK, France, USA, Canada
            ","1996","WILLOUGHBY, Jeff"
"2571","
              To study land management and conservation in national parks - Kenya, Tanzania
            ","1996","WINDERLICH, Steve"
"2572","
              To study piano accompaniment - UK, USA, Germany, Italy
            ","1996","WITHAM, Suzanne"
"2573","
              To study wine-fruit growing and wine production - Australia
            ","1995","ADAMS, Robert"
"2574","
              To study the inter-relationships of conductors, concert masters and other orchestral members in leading European orchestras - UK, Germany, Austria, Italy
            ","1995","ADENEY, Warwick"
"2575","
              To gain a better understanding of local government processes with particular reference to its role in encouraging tourism - Australia
            ","1995","ANTHONEY, Noor"
"2576","
              The Samuel and Eileen Gluyas Churchill Fellowship to visit leading research centres investigating the sustainability of soil and pasture used for cattle grazing - USA, UK
            ","1995","ASH, Andrew"
"2577","
              To meet and observe craftsmen working in the woodturning field - USA, Sweden, UK
            ","1995","BAKER, Terry"
"2578","
              The Swire Group Churchill Fellowship for the study of rangeland management with particular reference to the role of women - South Africa, USA
            ","1995","BARCLAY (Now MAXEY), Ruth"
"2579","
              To study private and public institutions which promote labour/management co-operation in individual enterprises - USA, Germany, Japan
            ","1995","BEEKHUIZEN, Phillip"
"2580","
              To study government and community responses to the problems of high growth, socially disadvantaged communities - USA, Canada
            ","1995","BEIRNE, John"
"2581","
              The James Love Churchill Fellowship to investigate partnership agreements between Indigenous peoples and governments - New Zealand, Canada
            ","1995","BIGELOW, Amanda"
"2582","
              To investigate procedures used internationally for the propagation and further growing of walnut trees - USA, France
            ","1995","BOLAND, Paul"
"2583","
              The Sir William Kilpatrick Churchill Fellowship to develop skills in the assessment and surgical correction of craniofacial deformities - Tawain
            ","1995","BREIDAHL, Alan"
"2584","
              To develop and refine selective trawl gears to reduce by-catch in Australia's prawn and fish-trawl industries - USA, UK, Norway
            ","1995","BROADHURST, Matt"
"2585","
              To study the use of lightning detection/tracking systems for bushfire detection in Australia - USA, Canada
            ","1995","BROOKHOUSE, Peter"
"2586","
              To study rehabilitation services, advocacy and family support programmes for people with brain injury and their carers - Norway, Sweden, Denmark, Germany, Switzerland
            ","1995","BROOKS, Dawn"
"2587","
              To study European teams producing and commissioning TV arts programmes and gain insight into scheduling and packaging practices - France, UK
            ","1995","BRYANT, Margaret"
"2588","
              To undertake training in vertical rescue - Australia
            ","1995","BUFFETT, Chris"
"2589","
              To investigate new and innovative ways of encouraging and promoting on-farm diversification and new farm enterprises - USA, UK
            ","1995","CAHILL, Gregory"
"2590","
              The WA Churchill Fellows' Association Churchill Fellowship to review the latest theories, practices and technology for managing complex wounds - USA
            ","1995","CARVILLE, Keryln"
"2591","
              The Bob and June Prickett Churchill Fellowship to study mammography training for radiographers - Netherlands, Sweden, UK, USA
            ","1995","CHAPPLE, Bronwyn"
"2592","
              To study alternatives to live animals in the teaching of medicine and surgery to veterinary science students - USA, Canada
            ","1995","CHRISTLEY, Robert"
"2593","
              To examine methods of gathering and presenting news of police activities and crime in prominent newspapers - USA, Ireland, UK
            ","1995","CLACK, Peter"
"2594","
              The Peter Mitchell Churchill Fellowship to study overseas training programmes in relation to child abuse and neglect, designed to train professionals in the child protection network - USA, UK
            ","1995","CLEMENTS, Debra"
"2595","
              The Dame Roma Mitchell Churchill Fellowship to study Bel Canto opera and Italian language - Italy
            ","1995","COLE, Joanna"
"2596","
              To study organised crime and its suppression - USA, UK
            ","1995","COOMBS, Peter"
"2597","
              The Jack Green Churchill Fellowship to assess the effectiveness of the milk and dairy beef residue prevention programmes - USA, UK
            ","1995","DARMODY, William"
"2598","
              To pursue studies in musical composition - USA
            ","1995","DAVIDSON, Robert"
"2599","
              To investigate broadcast television programmes made primarily for and by deaf people - USA, UK, Sweden
            ","1995","DAVIE, Cameron"
"2600","
              To study Renaissance art and architecture - Italy
            ","1995","DEVRIES-EVANS AM, Susanna"
"2601","
              To study and evaluate the role of volunteers in the sport and recreation area both amateur and professional in a variety of cities and socio-economic areas - USA, UK
            ","1995","DIMMER, John"
"2602","
              The Gallaugher Bequest Churchill Fellowship to study factors affecting the eating quality of beef and the genetic traits which determine meat quality - USA
            ","1995","DUMARESQ, Martin"
"2603","
              To undertake advanced studies in 17th and 18th Century music performance practices, eg. Conducting, ensemble direction and recording rehearsal techniques - UK, Netherlands, France
            ","1995","DYER AO, Paul"
"2604","
              To study permaculture - Australia
            ","1995","FITZPATRICK, Dean"
"2605","
              The AMP Churchill Fellowship to improve the quality of customer service in the insurance industry - Hong Kong, USA
            ","1995","GALE, Stan"
"2606","
              To study the current training methods and operational deployment of ""general purpose"" police dogs - UK, Germany, Belgium, USA
            ","1995","GEISEL, Darrell"
"2607","
              To study and review practical options being developed by farmers and research agencies to reclaim degraded land, including salt-affected soils - USA, UK, China, Canada
            ","1995","GEORGE, Richard"
"2608","
              To investigate the sexual abuse of male children, its incidence, treatment and its impact on possible development of these victims into adult perpetrators of sexual abuse - USA, UK, Germany
            ","1995","GILFEATHER, Ian"
"2609","
              To examine Light Rail Transit (LRT) systems - USA, Canada, France, Germany, Netherlands
            ","1995","GINN, Simon"
"2610","
              To study major US parks focusing on management issues - USA
            ","1995","GOLD, Stuart"
"2611","
              To work and study at major printmaking workshops - USA, Germany, France, Italy
            ","1995","HALL, Basil"
"2612","
              To evaluate family-centred programmes in specialist adolescent residential treatment centres - USA
            ","1995","HALLIDAY, Denis"
"2613","
              To investigate the provision of spiritual support and pastoral care for people with cancer - USA, UK
            ","1995","HANNA, Deirdre"
"2614","
              To examine commercial hatchery and growout techniques for flatfish, particularly the use of cages - Japan, Norway, Spain, UK, France
            ","1995","HART, Piers"
"2615","
              To examine training programmes for community support personnel working with older people in the community - USA, Canada, Sweden, UK
            ","1995","HATTON, Vianney"
"2616","
              To undertake an analysis of the initiatives taken by the churches to promote the wellbeing of the long-term unemployed - UK
            ","1995","HETZEL (Now Killigrew), Anna"
"2617","
              To study the development of practical forensic podiatry skills for use in assisting criminal investigation - USA, Canada
            ","1995","JONES, Sara"
"2618","
              To study fire investigation - UK
            ","1995","JONES AFSM, Patrick"
"2619","
              To research various supported accommodation models for people with high level disabilities - Canada, Netherlands, UK
            ","1995","KAYESS, Rosemary"
"2620","
              The Qantas Churchill Fellowship to study air safety practices - UK, USA
            ","1995","KENNEDY, Daniel"
"2621","
              To learn about advances in the management of offenders in correctional institutions, and the role of official visitors - UK, Netherlands, France, Sweden
            ","1995","KILLION, Frances"
"2622","
              To study ecological restoration of Indigenous flora in large urban areas involving community groups, schools, local authorities and professional organisations - Canada, USA, UK
            ","1995","KNOX, Guy"
"2623","
              To investigate early music courses, observing teaching and rehearsal techniques - UK, Netherlands, Belgium, Spain
            ","1995","LEWIS, Lesley"
"2624","
              To visit major centres for ethical and religious education and learn the lessons of the new national curriculum - UK, Hong Kong, Netherlands, Denmark, Sweden, Germany, USA
            ","1995","MACNAUGHT, Tim"
"2625","
              To study rural communities who have developed methods of extension that turn ""awareness"" into ""action"" particularly pertaining to agricultural land management - South Africa, Belgium, UK
            ","1995","MARRIOTT AM, Susan"
"2626","
              To study overseas mapping techniques - UK, Germany, Switzerland, Austria, France
            ","1995","MARTIN, Raymond"
"2627","
              The Swire Group Churchill Fellowship to study procedures and techniques for the precision establishment of rotation crops into permanent beds in a cotton production system - USA
            ","1995","McCALMAN, Scott"
"2628","
              To investigate high density dwarf wood stocks and minimising the use of pesticides in apple growing - Italy, Netherlands, UK, USA, Canada
            ","1995","McCOLL, Chris"
"2629","
              The Donald Mackay Churchill Fellowship to study undercover officer training and operations, in particular ""deep-cover"" penetration of organised crime groups - USA, UK, Canada
            ","1995","McCOMISH, Peter"
"2630","
              To visit major Sail-Training Institutions - USA, UK, Canada
            ","1995","McCUSKER, Anthony"
"2631","
              To study glass lampworking in depth at a high level to improve knowledge both technically and aesthetically - USA, Germany
            ","1995","MINSON, Peter"
"2632","
              To study the management structures of community owned beef cattle grazing enterprises - Fiji, Papua New Guinea
            ","1995","MITCHELL, Paul"
"2633","
              To visit major newspaper, journalism institutes and associated media organisations to learn how to maintain and improve their integrity and public accountability - USA, Canada, UK
            ","1995","MOORE, Matthew"
"2634","
              To attend seminars in photojournalism at the International Centre of Photography - USA
            ","1995","MOSSOP, Michele"
"2635","
              To investigate the use of modern technology and management systems in bushfire control with a view to improving Australian arrangements - USA
            ","1995","MULLINS AO, Gregory"
"2636","
              The Sir Vincent Fairfax Churchill Fellowship to examine alternative management methods in the care of the frail and confused elderly - USA, UK
            ","1995","NEWMAN, Merran"
"2637","
              To establish links between professional translation organisations and teaching institutes in Vietnam and Australia - Vietnam
            ","1995","NGUYEN, Ninh"
"2638","
              To investigate crops for use in rotation with irrigated cotton to improve the sustainability of cotton production - USA
            ","1995","NORMAN, Mark"
"2639","
              To visit conservation laboratories and restoration workshops to observe current developments in built heritage (timber) conservation and restoration techniques - UK, Italy
            ","1995","OVERTON, Dennis"
"2640","
              To study aspects of amenity horticulture in dry landscapes and to identify mechanisms of information dissemination throughout the industry - USA, Morocco, Spain
            ","1995","PATRICK, John"
"2641","
              The Bank of Queensland Churchill Fellowship to investigate the best practices for planting, growing and managing trees in cities - Singapore, Hong Kong, USA, Brazil
            ","1995","PLANT, Lyndal"
"2642","
              To study wine grape quality as it relates to fruit price and viticultural management of varying grades of fruit quality - South Africa, USA, France, Italy, Germany, Chile
            ","1995","RAY, Graeme"
"2643","
              To examine and evaluate organisation, structures, functions and subsidies of the major performing arts houses - UK, France, Netherlands, Germany, USA
            ","1995","REECE, Sara"
"2644","
              The Peter Mitchell Churchill Fellowship to study at the Scottish College of Textiles - UK
            ","1995","ROSSELL, Judith"
"2645","
              To extend knowledge of child protection/child abuse in order to better serve the community - USA, UK, Norway
            ","1995","ROYLANCE, Richard"
"2646","
              To study rehabilitation management systems with established motor accident compensation scheme administrators - Canada
            ","1995","RUTHERFORD, Maggie"
"2647","
              To broaden knowledge of heritage property conservation and management - UK, Netherlands, USA
            ","1995","RYSSENBEEK, Jenny"
"2648","
              The Dr Iain C. Medgett Churchill Fellowship to study violin at the Royal College of Music - UK
            ","1995","SAVAGE, Padraic"
"2649","
              To examine the design and development of training programmes on land and water related environmental issues which train students to conduct real environmental studies - USA
            ","1995","SCOTT, Margaret"
"2650","
              The Year of the Family Churchill Fellowship to investigate family mediation programmes - USA, UK, Canada
            ","1995","STEPHEN, Lynette"
"2651","
              The A.V. Jennings Churchill Fellowship to study the design of medium density housing for the aged - Canada, USA
            ","1995","SUTTON, Peter"
"2652","
              To study medical history and pharmacy displays at significant museums - UK, USA
            ","1995","Thomson, Philip"
